centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,909,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,891,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,985,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,704,248.9838977437489,2135.126921219914,1221.2805844944933,356285.3130655474
0.05,892,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,902,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,978,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,712,335.5789845395068,2046.6915246787257,1242.9443413328922,361496.1283704217
0.05,937,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,723,169.61143711607428,2201.9205620104203,1168.552666018073,340631.9279072408
0.05,924,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,900,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,722,379.89381558940784,2592.46515369437,1401.242942630463,365583.8574296776
0.05,923,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,939,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,982,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,926,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,916,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,970,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.25,884,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,920,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,946,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,975,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,886,1157.3633973525236,4691.1567986849695,1676.1846013809302,517620.82548940746
0.25,945,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,715,892.0744344789873,4690.325186588653,1487.4977315559827,410180.48740826215
0.25,958,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,696,931.1449946373957,4736.007003116517,1501.6404189533257,407952.5229735639
0.25,918,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,725,778.0841979244299,4626.244806199753,1451.472307175458,409966.3149665899
0.25,930,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,971,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,699,516.0490806649202,4802.658019839499,1372.0521089624567,395452.34190235764
0.25,731,710.705751745825,4621.745226414399,1431.2409361183659,407842.2024902953
0.25,708,1175.4755313697517,5963.454881577065,1785.0921174067316,456623.8512814391
0.25,894,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,740,978.7005299724708,4652.356719239647,1381.0289936516683,390415.0401406065
0.25,726,957.7884816605997,4817.670663511422,1518.087564950169,398310.2417785052
0.25,919,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,963,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,941,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,702,892.0744344789873,4690.325186588653,1487.4977315559827,410180.48740826215
0.25,905,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,921,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,960,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,737,742.7849646859424,5922.8119436771085,1638.18914094656,460233.7928497837
0.25,929,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,735,1159.2694498169294,5975.500198290377,1780.2353315792082,450315.80030607193
0.25,727,641.7381782170565,4644.776430178428,1410.6603635497252,404595.120632398
0.25,952,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,733,839.82686984663,4651.382985193313,1470.5012693617662,410799.44113151514
0.25,948,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,899,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,709,892.0744344789873,4690.325186588653,1487.4977315559827,410180.48740826215
0.25,700,1175.4755313697517,5963.454881577065,1785.0921174067316,456623.8512814391
0.25,893,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,703,908.3428789288099,4794.232878141689,1459.0057019889596,377389.85945845756
0.25,889,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,954,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,984,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,938,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,955,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,980,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,732,932.5335657959074,4855.346274452766,1514.098299595105,385534.34935864585
0.25,701,742.7849646859424,5922.8119436771085,1638.18914094656,460233.7928497837
0.25,913,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,961,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,890,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,950,1166.7101956301117,6402.326130053791,1738.674487183692,526862.4519951703
0.25,936,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,898,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,972,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,933,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,698,892.0744344789873,4690.325186588653,1487.4977315559827,410180.48740826215
0.25,914,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,947,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,901,930.6275133315016,3571.002874847358,1410.047569396827,452839.3745419814
0.25,729,802.1361694338192,5822.6793692984575,1656.7564213039798,465183.8414656021
0.25,718,978.7005299724708,4652.356719239647,1381.0289936516683,390415.0401406065
0.25,922,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,981,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,720,778.0841979244299,4626.244806199753,1451.472307175458,409966.3149665899
0.25,928,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,956,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,896,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,944,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,927,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,910,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,741,1163.1016209964407,4364.241061999734,1258.7527002641648,425730.4649965848
0.25,721,1118.8103185000093,5810.479110426264,1753.6347635400862,474961.93835568824
0.25,932,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,940,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,728,1066.562753867652,5771.536909030924,1736.6383013458694,475580.8920789412
0.25,713,778.0841979244299,4626.244806199753,1451.472307175458,409966.3149665899
0.25,714,694.8694820256682,6073.594387189495,1622.0806368014273,454726.4680371159
0.25,912,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,925,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,730,953.4977641473736,4780.793886702883,1512.1012503771635,403960.2122490983
0.25,974,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,716,1175.4755313697517,5963.454881577065,1785.0921174067316,456623.8512814391
0.25,968,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,734,839.82686984663,4651.382985193313,1470.5012693617662,410799.44113151514
0.25,979,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,917,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,966,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,962,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,707,1157.880878658418,5856.160926954128,1767.777450937429,472733.97392098996
0.25,977,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,935,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,911,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,710,641.7381782170565,4644.776430178428,1410.6603635497252,404595.120632398
0.25,949,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,895,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,942,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,967,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,885,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,934,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,719,1118.8103185000093,5810.479110426264,1753.6347635400862,474961.93835568824
0.25,909,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,891,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
